References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
MCU,1,Arduino Nano,Arduino,A000087,Arduino,A000005,Gravitech,A000005,,,,,,,1050-1001-ND,782A000005,6961667,,1848691
U5,2,Headers 15 pin 1 row,Samtec inc,SSA-115-S-T,Samtec Inc,SSW-115-01-T-S,Samtec,BCS-115-L-S-TE,Samtec,SSA-115-S-T,Samtec,SSW-115-01-T-S,,,SAM1213-15-ND,200BCS115LSTE,1800452,,2779587
Battery clip,1,9V PP3,KEYSTONE,1294,Keystone,1294,,,,,,,,,36-1294-ND,5341294,1725845,,1650674
Potentiometers,4,10k/50mw/20%,Alps,RK09K1130AH1,ALPS,RK09K1130AH1,,,,,,,,,,,7293587,,1191725
Buzzer,1,25V 75dB,Murata,PKM22EPPH4001-B0,,,,,,,,,,,490-4692-ND,81PKM22EPPH4001B0,5168252,,1192512
BNC connectors,5,female PCB conn,Radiall,R141426161,TE Connectivity,1-1337445-0,,,,,,,,,A101972-ND,571113374450,3941055P,,1205964
Pushbutton,1,35V 10mA,E-switch,KS-01Q-01,C&K,D6C90 F1 LFS,C&K Components,D6C90F1LFS,E-Switch,KS-01Q-01,,,,,401-1969-ND,611D6C90F1LFS,102327,,1201367
LED,2,617nm 2V 20mA,Knightbright,L-793ID,Kingbright,L-793ID,,,,,,,,,,,2471791,,1142588
C1,1,100V 1nf 5%,Multicomp,MCRR50102COGJ0100,Murata,RDE5C1H102J0M1H03A,,,,,,,,,490-8962-1-ND,81RDE5C1H102J0M1H3A,1335665P,,2990765
"R1,R4",2,250V 10k 250mW 1%,Multicomp,MF25 10K,TE connectivity,CFR16J10K,TE Connectivity,CFR16J10K,,,,,,,A104668CT-ND,279CFR16J10K,1251153,,9341110
R2,1,250V 47ohm 250mW 1%,Multicomp,MF25 47R,Ohmite,OD470JE,RS Pro,7077568,,,,,,,OD470JE-ND,588OD470JE,7077568,,9341986
R3,1,250V 10ohm 250mW 1%,Multicomp,MF25 10R,TE connectivity,YR1B10RCC,TE Connectivity,YR1B10RCC,,,,,,,A105944CT-ND,279YR1B10RCC,1372768,,1785905
Battery,1,9V PP3,Panasonic,6F22REL/1BP,Energizer,7638900410297,Energizer,EN22,,,,,,,N145-ND,,9145051,,1018880
BNC cable,1,Male to Male,Amphenol,779829-58-0.6,Cal test,CT2942-50,RS Pro,1222147,Cal Test Electronics,CT2942-50,,,,,BKCT2942-50-ND,510CT294250,1222147,23M9404,1261916
BNC connector,1,Male to wire,Clever little box,CLB-JL-73,Clever Little Box,CLB-JL-732,Clever Little Box,CLB-JL73,,,,,,,,,1242521,,2381877
BNC adapter,1,Jack Jack adaptor,Multicomp,BNC JACK JACK ADAPTOR NICKEL,Amphenol RF,031-219-RFX,Telegärtner,J01004A0618,,,,,,,ARFX1069-ND,52331219RFX,1121798,,1169741
Photodiode,1,IR 20°,Osram Opto,Q62702P0942,Osram,SFH 203 P,Osram Opto,,Osram Opto,,,,,,475-2649-ND,720SFH203FA,6548154,94AC4969,2981688
M3 screws,1,6mm M3,TR Fastenings,M36 KHHTMCS100-,RS-Pro,528-946,Keystone,29311,RS Pro,528946,TR Fastenings,M3 6 KH10MC S100,TR Fastenings,M36KHHTMCS100-,36-29311-ND,53429311,528946,,1420609
M3 nuts,1,M3,TR Fastenings,M3- HFA2-S100-,RS-Pro,560-293,RS Pro,560293,,,,,,,,,560293,53M8680,1420788
